タイトル,巻数,著者・編者,出版元,出版年
日本の考古学,第4巻　古墳時代　上,"近藤義郎,藤沢長治編",河出書房新社,1966
日本の考古学,第5巻　古墳時代　下,"近藤義郎,藤沢長治編",河出書房新社,1966
日本の考古学,第6巻　歴史時代　上,"三上次男, 楢崎彰一編",河出書房新社,1967
日本の考古学,第7巻　歴史時代　下,"三上次男, 楢崎彰一編",河出書房新社,1967
古代史講座,第1巻　古代史学序説,石母田正 [ほか] 編,學生社,1961
古代史講座,第2巻　原始社会の解体,石母田正 [ほか] 編,學生社,1962
古代史講座,第3巻　古代文明の形成,石母田正 [ほか] 編,學生社,1962
古代史講座,"第4巻　
デスポティズムと古代民主制",石母田正 [ほか] 編,學生社,1962
古代史講座,第5巻　財政と軍事組織,石母田正 [ほか] 編,學生社,1962
古代史講座,第6巻　古代家族と村落機構,石母田正 [ほか] 編,學生社,1962
古代史講座,"第7巻　
古代における身分と階級",石母田正 [ほか] 編,學生社,1963
古代史講座,第8巻　古代の土地制度,石母田正 [ほか] 編,學生社,1963
古代史講座,第9巻　古代の商業と工業,石母田正 [ほか] 編,學生社,1963
古代史講座,第10巻　世界帝国の諸問題,石母田正 [ほか] 編,學生社,1964
古代史講座,"第11巻　
古代における政治と民衆",石母田正 [ほか] 編,學生社,1965
古代史講座,第12巻　古代思想と芸術,石母田正 [ほか] 編,學生社,1965
古代史講座,"第13巻　
古代における交易と文化交流",石母田正 [ほか] 編,學生社,1966
古代人骨の研究に基づく日本人種論,,清野謙次著,岩波書店,1949
日本原人の研究,,清野謙次著,岡書院,1925
日本史の黎明 (有斐閣全書),,八幡一郎著,有斐閣,1953
土器製塩の研究,,近藤義郎著,青木書店,1984
日本土器製塩研究,,近藤義郎編,青木書店,1994
考古学メモワール,,京都大学［考古学メモワール］編集委員会,学生社,1980
日本舊石器時代の研究 (早稲田大学考古学研究室報告 第2冊),,直良信夫著,寧楽書房,1954
日本考古學研究,,,恭和印刷,1961
日本古墳文化資料綜覧,[本編],齋藤忠編,臨川書店,1982
続日本古墳文化資料綜覧,"文献篇 
昭和30年〜昭和55年",齋藤忠編,臨川書店,1985
続日本古墳文化資料綜覧,遺跡篇,齋藤忠編,臨川書店,1988
日本史料集成,,平凡社編,平凡社,1956
弥生時代文献解題,1963(昭和38)年度,関俊彦編,文信社,1965
弥生時代文献解題,1965年度,関俊彦編,東出版,1971
東日本弥生時代遺跡地名表,中部地方,関俊彦編,東出版,1971
埋蔵文化財要覧 ,1,文化財保護委員会[編],吉川弘文館,1957
埋蔵文化財要覧,2,文化財保護委員会[編],吉川弘文館,1957
古墳時代の研究-- 再版,,小林行雄著,青木書店,1965
古墳時代の研究-- 再版,,小林行雄著,青木書店,1965
銅鉾銅劍の研究,,高橋健自著,聚精堂,1925
銅鐸の研究,資料篇,梅原末治著,木耳社,1985
銅鐸の研究,図録篇,梅原末治著,木耳社,1985
九州の考古學 : 九州の大昔 (九州青少年文庫).,,田中幸夫著,西日本教育出版社,1950
考古学者・杉原荘介 : 人と学問,,杉原荘介先生を偲ぶ会編,杉原荘介先生を偲ぶ会,1984
日本上代井の研究,,日色四郎著,日色四郎先生遺稿出版会,1967
日本上代の甲冑 -- 増補,本文篇,末永雅雄著,木耳社,1981
日本上代の甲冑 -- 増補,図版篇,末永雅雄著,木耳社,1981
日本上代の甲冑 -- 増補,本文篇,末永雅雄著,木耳社,1981
日本上代の甲冑 -- 増補,図版篇,末永雅雄著,木耳社,1981
大日本讀史地図,,吉田東伍著,冨山房,1935
武蔵国分寺古瓦塼文字考 (早稲田大学考古学研究室報告 ; 第5冊),,大川清著,小宮山書店,1958
日本出土青銅器の研究 : 剣・戈・矛・鏡・銅鐸,本文編,三木文雄著,第一書房,1995
日本出土青銅器の研究 : 剣・戈・矛・鏡・銅鐸,図録編,三木文雄著,第一書房,1995
日本先史土器図譜,,山内清男編,示人社,1997
日本先史土器の縄紋,,山内清男編,示人社,1997
先史考古学論文集,1,山内清男編,示人社,1997
先史考古学論文集,2,山内清男編,示人社,1997
新修国分寺の研究,第2巻　畿内と東海道,角田文衛編,吉川弘文館,1991
新修国分寺の研究,第3巻　東山道と北陸道,角田文衛編,吉川弘文館,1991
新修国分寺の研究,第4巻　山陰道と山陽道,角田文衛編,吉川弘文館,1991
新修国分寺の研究,第4巻　山陰道と山陽道,角田文衛編,吉川弘文館,1991
新修国分寺の研究,第5巻 上　南海道 ,角田文衛編,吉川弘文館,1987
新修国分寺の研究,第5巻 下　西海道,角田文衛編,吉川弘文館,1987
新修国分寺の研究,第6巻　総括,角田文衛編,吉川弘文館,1996
新修国分寺の研究,第7巻　補遺,角田文衛編,吉川弘文館,1997
佛教考古學論攷,1 寺院編,石田茂作著,思文閣出版,1978
佛教考古學論攷,2 佛像編,石田茂作著,思文閣出版,1977
佛教考古學論攷,3 徑典編,石田茂作著,思文閣出版,1977
佛教考古學論攷,4 佛塔編,石田茂作著,思文閣出版,1977
佛教考古學論攷,5 佛具編,石田茂作著,思文閣出版,1977
佛教考古學論攷,6 雜集編,石田茂作著,思文閣出版,1977
はにわ,,三木文雄著,大日本雄弁会講談社,1958
土器 (湖林美術館所藏品選集),,成保文化財団編,成保文化財團,1985
日本の土器,,京都国立博物館編,京都国立博物館,1964
流水文銅鐸の研究,,三木文雄著,吉川弘文館,1974
日本の土偶,,江坂輝弥著,六興出版,1990
須恵器集成図録,1 近畿編,中村浩編,雄山閣出版,1995
須恵器集成図録,2 近畿編,中村浩編,雄山閣出版,1996
須恵器集成図録,3　東日本編,"齋藤孝正, 後藤建一編",雄山閣出版,1995
須恵器集成図録,4　東日本編,"齋藤孝正, 後藤建一編",雄山閣出版,1995
須恵器集成図録,5　西日本編,舟山良一 [ほか] 編,雄山閣出版,1996
須恵器集成図録,6　補遺・索引編,,雄山閣出版,1995-
古墳出土須恵器集成,第1巻 近畿編1,中村浩編,雄山閣出版,1998-
古墳出土須恵器集成,第2巻 近畿編2,中村浩編,雄山閣出版,1998-
古墳出土須恵器集成,第3巻 東日本編1,中村浩編,雄山閣出版,1998-
古墳出土須恵器集成,第4巻 東日本編2,中村浩編,雄山閣出版,1998-
古墳出土須恵器集成,第5巻 西日本編1,中村浩編,雄山閣出版,1998-
古墳出土須恵器集成,第6巻 西日本編2,中村浩編,雄山閣出版,1998-
図説日本の史跡,1 原始1,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図説日本の史跡,2 原始2,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図説日本の史跡,3 原始3,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図説日本の史跡,4 古代1,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図説日本の史跡,5 古代2,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図説日本の史跡,6 中世,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図説日本の史跡,7 近世近代1,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図説日本の史跡,8 近世近代2,"文化庁文化財保護部史跡研究会監修
狩野久 [ほか] 編",同朋舎出版,1991
図解・日本の中世遺跡,,小野正敏 [ほか] 編,東京大学出版会,2001
図解・日本の人類遺跡,,日本第四紀学会 [ほか] 編,東京大学出版会,1992
古代鏡文化の研究,1 中国古代,保坂三郎著,雄山閣出版,1986
古代鏡文化の研究,2 日本原史・奈良,保坂三郎著,雄山閣出版,1986
古代鏡文化の研究,3 唐・平安・鎌倉・南北朝,保坂三郎著,雄山閣出版,1986
古代鏡文化の研究,4 諸芸史・鏡像・鑑鏡考,保坂三郎著,雄山閣出版,1986
九州古瓦図録,0,九州歴史資料館編,柏書房,1981
全国史跡総覧,東日本編,観光資源保護財団(日本ナショナル・トラスト)著,柏書房,1978
原始の農耕文化-- 増訂三版,0,木村靖二著,日本農業新聞,1967
富雄丸山古墳・西宮山古墳出土遺物 : 京都国立博物館蔵,0,京都国立博物館編,京都国立博物館,1982
合本土師式土器集成,本編 上巻,"杉原荘介, 大塚初重編",東京堂出版,1991
合本土師式土器集成,本編 下巻,"杉原荘介, 大塚初重編",東京堂出版,1991
古瓦図鑑,,石田茂作編,大塚巧芸社,1930
斑鳩藤ノ木古墳　第二・三次調査報告書,,斑鳩町教育委員会,斑鳩町教育委員会,1995
古代人骨の研究に基づく日本人種論,,清野謙次著,岩波書店,1949
東京国立博物館所蔵　須恵器集成Ⅱ　東日本編,2,東京国立博物館編,東京国立博物館,1997
東京国立博物館所蔵　須恵器集成Ⅲ　西日本編,3,東京国立博物館編,東京国立博物館,1998
陶芸(原色日本の美術 ; 第22-23巻),"1　原始,古代,中世",楢崎彰一 [ほか著],小学館,1980
井戸尻 : 長野県富士見町における中期縄文遺跡群の研究,,藤森栄一編,中央公論美術出版,1965
図録古代出雲文化集成,,島根県教育委員会編集,岡村印刷工業,1998
朝日=タイムズ世界考古学地図 : 人類の起源から産業革命まで,,"クリス・スカー編集
小川英雄 [ほか] 日本語版編集",朝日新聞社,1991
世界考古学大図典,,クリスティーヌ・フロン編 ; 田辺勝美監訳,同朋舎,1987
弥生式土器集成 : 本編,1,"小林行雄, 杉原莊介編",東京堂,1964
土師式土器集成,本編 4,"杉原荘介, 大塚初重編",東京堂出版,1974
弥生式土器集成 : 本編 -- 再版,,"小林行雄, 杉原莊介編",東京堂出版,1989
金峯山經塚遺物の研究 (帝室博物館學報：第8),,"石田茂作, 矢島恭介著　帝室博物館編",帝室博物館,1937
古墳の航空大観,本文,末永雅雄著,学生社,1975
古墳の航空大観,陵墓図,末永雅雄著,学生社,1975
古墳の航空大観,図版,末永雅雄著,学生社,1975
日本考古展図録,,東京国立博物館編,便利堂,1970
日本の古墳,,末永雅雄著,朝日新聞社,1961
白瓷 (日本陶磁全集 / 佐藤雅彦 [ほか] 編 ).,6,楢崎彰一編集・解説,中央公論社,1976
経塚論考,,保坂三郎著,中央公論美術出版,1971
日本考古學研究,,森本六爾著,桑名文星堂,1943
美術考古學發見史,, アドルフ・ミハエリス著 ; 濱田耕作譯,岩波書店,1927
"遊牧民族の社會と文化 : ユーラシア學會研究報告
 (自然と文化 / 自然史學會編：別編)",,ユーラシア學會編,自然史學會,1952
法隆寺建築,,太田博太郎著,龍吟社,1945
東洋漆工史,,六角紫水著,雄山閣,1932
奈良の石佛,,西村貞著,全國書房,1943
塔婆之研究 -- 改訂版,,佐伯啓造編,鵤故郷舎出版部,1943
塔婆之研究 -- 改訂版,,佐伯啓造編,鵤故郷舎出版部,1943
日本考古學・人類學史,上,清野謙次著,岩波書店,1954
未開民族の文化 : 物質文化学哲学論,,セイス著 ; 坪井良平訳,葦牙書房,1942
未開社會に於ける家族,,岡田謙著,弘文堂書房,1942
"畿内庄園の基礎構造 
: 特に均等名庄園・攝関家大番領番頭制庄園等に関する実証的研究",,渡辺澄夫著,吉川弘文館,1956
日本考古学の発達と科学的精神 : 和島誠一主要著作集,,和島誠一著,和島誠一著作集刊行会,1973
彌生式土器序集 (東京考古學會彌生式土器圖集：第1輯),,森本六爾編,東京考古學会,1933
日本青銅器時代地名表,,森本六爾編,岡書院,1929
國寶建造物寶物目録,[正],黒板勝美編,岩波書店,1935
日本考古學概説  (創元選書),,小林行雄著,創元社,1951
日本原始文化,,三森定男著,四海書房,1941
日本考古圖録大成第五輯　馬具,,日東書院編,日東書院,1930
大乗佛教藝術史の研究,,小野玄妙著,金尾文淵堂,1927
原始文化の探求,,古野清人著,白水社,1942
寧樂遺文. -- 訂正版,上巻,竹内理三編,東京堂出版,1962
寧樂遺文. -- 訂正版,中巻,竹内理三編,東京堂出版,1962
寧樂遺文. -- 訂正版,下巻,竹内理三編,東京堂出版,1962
印度美術の主調と表現,0,岡本貫瑩著,山縣精一,
奈良時代文化雜攷,0,石田茂作著,創元社,1944
日本建築の研究,上,伊東忠太著,龍吟社,1942
日本建築の研究,下,伊東忠太著,龍吟社,1942
史前史,,大島正満 [ほか]著,平凡社,1939
日本埴輪圖集,解説,東京帝室博物館編,歴史参考圖刊行會,1920
古墳と上代文化. -- 増補改訂版,,高橋健自著,雄山閣,1924
装飾古墳の研究,,斎藤忠著,吉川弘文館,1952
獨墺の美術史家,,徳川義寛著,座右寶刊行會,1944
飛天の藝術,,長廣敏雄著,朝日新聞社,1949
藝術の始原,,エルンスト・グローセ/安藤弘訳,岩波書店,1925
古鏡の研究,,富岡謙蔵著,富岡益太郎,1920
本邦古硯考 (甲鳥学書8),,内藤政恒著,養徳社,1944
服裝史概説,,後藤守一著,四海書房,1943
天平の文化,上,,朝日新聞社,1942
天平の文化,下,,朝日新聞社,1943
大日本金石史,第1巻,木崎愛吉編,好尚会出版部,1921
大日本金石史,第2巻,木崎愛吉編,好尚会出版部,1921
大日本金石史,第3巻,木崎愛吉編,好尚会出版部,1921
歴史學の成果と課題 (歴史學研究：別冊 歴史學年報),1,歴史學研究會編,岩波書店,1949
歴史學の成果と課題 (歴史學研究：別冊 歴史學年報),2,歴史學研究會編,岩波書店,1954
日本美術史,上代篇,上野直昭著,河出書房,1949
"國家權力の諸段階
 (歴史學研究：別冊 歴史學研究會大會報告 ; 1950年度)",,歴史學研究會編,岩波書店,1950
人類起源論,,"清野謙次, 金関丈夫 共著",岡書院,1928
"法隆寺建築綜觀 : 昭和修理を通じて見た法隆寺建築の研究
 (京都大学文学部考古学叢書 ; 第1冊)",,淺野清著,便利堂,1953
日本古玉器雑攷,,梅原末治著,吉川弘文館,1971
奈良朝仏教史の研究 (日本史学研究叢書),0,井上薫著,吉川弘文館,1966
